,verification,texts,Cluster_labels
3524,Unkwon,MCT-LHR-MAN and LHR-MCT I think you need to fly BA every so often to remind yourself why you don't do it any more. The first flight was just poor - from check in to landing. Although they have now changed the aircraft on this route and the IFE is better they still treat the passengers as self-loading cargo. It took me 3 hours to get a drink - the staff were cheerful they simply didn't do anything. A full flight and at least one washroom out of action was an additional pain. Transit through LHR is always an unalloyed joy and this time I had to go through immigration which added to the fun but despite this I still had time for a very quick shower between flights - hooray and full marks for the lounge staff. LHR to MAN was fine. Coming back was much better the crew were responsive and pro-active and the food was actually edible - if all BA flights were like this I would use them more - I only used them this time because Swiss have axed the route temporarily while the work on the Dubai runway is happening.,negative
3525,Unkwon,Boeing 777. One of our best flights from Europe. Everything was done to make us comfortable including showing the technically challenged how to work the numerous controls. Good selection of movies and shows. Food and wine selection was good and the prep was quite good. Seat was very good especially compared to the 747 outbound flight we had.,negative
3526,Unkwon,Tampa-Gatwick. Check in lousy. I can't believe I am writing this. Checking in 3 bags one weighed 32.7 kg the supervisor insisted I remove the .7kg (1lb) from the bag. I had to ask him if he was serious and he said he was. The person checking in next to me had the same problem. When you fly business class the reason you do is because you don't want stress this strictness doesn't help. Tampa airport didn't help the stress level either I had one carry on bag rucksack and a small bag for a laptop security to the gate insisted I was allowed two carry on's so I had to put two bags into one. Going through the third security the scanner showed I had something in my pocket. Body search revealed I had a few $ notes in my pocket. Security man 'when we say remove everything from your pocket we mean everything' I thought he was joking he wasn't. Lounge at Tampa Ok. Sandwiches freshly made and plenty of drinks reasonable space. Option of going to one world lounge as well. Boarding aircraft clean all seats in club taken offered champagne by very friendly cabin crew. Food usual just edible (insulting to passengers as you are paying business class monies) flight landed late. Baggage collection happy to see two of my check in's come out first and sad to see the last bag come out last as the priority tag had got removed of the last bag.,negative
3527,Unkwon,A long time user of BA I have seen a gradual decline in quality now hit freefall and the LHR-PHX-LHR route that I use monthly has become more akin to sitting in a cattle truck than a B747. Old airframes with tatty interiors are the norm legroom is extremely limited the aircraft is seldom what you would call clean and the crews give the impression they are almost putting themselves out to serve you. Food is not worthy of the name and the whole experience is an utterly miserable 10 hours of your life each leg. Enough is enough and 1st June is the last time I'll use the outbound flight as I'm switching across to United via ORD in future. OK it means a changeover in Chicago but the recent experience was a refreshing change from BA and I actually felt like I was wanted on the United flights.,negative
3528,Unkwon,LHR-Warsaw. Economy on an A320. Plane seemed brand new. Was seated in 8C towards the front of Economy and that's obviously a seat that gets configured for Club Europe from time to time as the seat pitch was pretty generous. Complimentary breakfast consisting of coffee and a filled croissant was perfectly OK. Service efficient. Flight left and landed on time. Textbook stuff really. No complaints at all.,negative
3529,Unkwon,Gatwick to Malaga late May. I have travelled this route literally hundreds of times the number of airlines that have or currently operate this route over the years gives a good choice of flight times and fares. However I find myself using BA as the norm. The flights are well priced usually on time the aircraft are clean and comfortable although they could be newer. Legroom is great especially if you can bag a seat in the first eight rows these have 34 inches of legroom. Organised boarding makes a huge positive difference as well.,negative
3530,Unkwon,LHR-Warsaw. Economy on an A320. Plane seemed brand new. Was seated in 8C towards the front of Economy and that's obviously a seat that gets configured for Club Europe from time to time as the seat pitch was pretty generous. Complimentary breakfast consisting of coffee and a filled croissant was perfectly OK. Service efficient. Flight left and landed on time. Textbook stuff really. No complaints at all.,negative
3531,Unkwon,Gatwick to Malaga late May. I have travelled this route literally hundreds of times the number of airlines that have or currently operate this route over the years gives a good choice of flight times and fares. However I find myself using BA as the norm. The flights are well priced usually on time the aircraft are clean and comfortable although they could be newer. Legroom is great especially if you can bag a seat in the first eight rows these have 34 inches of legroom. Organised boarding makes a huge positive difference as well.,negative
3532,Unkwon,"Travelled back from Tampa to Gatwick Friday 30th May. This flight proved that it is the crew that make a good or bad flight. This one was really bad. I was booked in Club normally the plane is a three class 777. On Friday it was a four class that was flying and I was lucky enough to be seated in the First Class cabin. Although it was not classed as an upgrade to First because it was business class service it should still have been a lovely experience. Yes the seat and all the space was great but the first words I heard as being offered a drink was - ""Can't wait for this flight to be over"". This was from one of the stewards to another steward but that attitude was the same amongst all the crew serving the cabin. I hope BA read this forum as the service really was appalling. My husband was in the bathroom when breakfast was served he was ignored. A request of a cup of coffee was met with we will be landing in 40 minutes. So what should have been a real treat turned out to be the most disappointed I have ever been with BA. Will no longer recommend.",negative
3533,Unkwon,I flew from London to Milan Linate on 27th May 2014. Firstly the booking process was quick and easy and was matched by an efficient check-in and bag drop procedure too. The staff were well turned out and other than one cabin crew member the cabin staff were professional and polite. The airbus was modern and comfortable. A snack and drink was served on this flight and it was nice to see screen showing the route map of the flight. Disembarkation was orderly and well managed. I hope to use BA again the in the near future.,negative
3534,Unkwon,Dublin to Sydney (via Heathrow and Singapore). Club Europe from Dublin to London and club world to Sydney. Flight to Heathrow delayed 40 mins due to weather which was fine. Upon arrival in Heathrow waited for an hour for the bus transfer leaving us 30 mins to make the next flight. Upon boarding the connection bus another 30 mins delayed. By this time it was about 10pm. Obviously missed the connecting flight to Sydney so tried to find a BA contact in terminal 4. Was then advised to go to terminal 1. No BA reps around and no 24 hr phone number. Then transferred to terminal 5. By this time it was midnight and still no BA contacts. Finally went to baggage services and saw a BA rep that had no idea what was going on and sent us to the first class lounge which was closed. Finally someone appeared at 1am who sorted out our hotel room and as the delay was caused by BA they provided us with the option of flying back to Sydney on BA or could see if they could get us on a China Southern flight (we had originally booked China Southern). We took the BA option as it was easiest and needed to come home. Next day arrived at airport and boarded through Gate C in terminal 5 (hate Heathrow airport). Lounge in Heathrow was fine over crowded but fine. Upon boarding the BA business class product we were very disappointed to say the least. Seats old aircraft old and the seating configuration was awful. We had the two middle seats E and F which were facing backwards however the seats on opposite sides are very close facing towards you. Flight left on time and arrived in Singapore on time. There was a delay of an hour in Singapore but again that couldn't be helped. They were also out of the express passes which was annoying and also lost our baggage - luckily it arrived two days later. Good luck if you're expecting to sleep on the flight. Seats were small and very uncomfortable. The amenity kits were ok however they ran out of eye masks. The hit towels were anything but hot. Food was below average. Overall I wouldn't recommend British Airways Club Europe/world. The best I've experienced so far from Sydney to Europe would have to be on China Southern. Considering they are 2-3 grand cheaper than British Airways and they offer a better business class product and a more seamless transfer process.,negative
3535,Unkwon,"Boeing 767 Club Europe to Istanbul and back. The seats were tatty and very worn leg room limited at best thankfully the passenger in front on both legs did not recline their seats. The head rests are hanging off as are parts of the cabin. The food was ok but turning out a ""plastic pot"" upside down into the china bowl in front of you isn't that great. Even though I know they do that in the galley in first class it doesn't need to be on display. Crew much better inbound.",negative
3536,Unkwon,Gatwick-Tampa. Check in simple lounge at Gatwick average aircraft B777. Clean and departed on time. On board pleasant welcome food just about ok after some research chose seat 4K window you won't disturb anyone getting out. But have to agree with mostly everyone else that seats are small and facing a stranger is quite odd. Cabin crew excellent flight crew informative through out the flight which landed on time. Anyone booking Business as opposed to Eco or Eco plus should know that all you are really paying extra for is a cramped flat seat and allowance of 3x32kg bag checked in instead of 2x23kg in Eco. Good films to choose from but music naff as is the screen. Brought my own in ear Bose IQ20 headset Excellent for flights.,negative
3537,Unkwon,My husband and I travelled to San Diego from Heathrow and back via JFK five weeks later. Service is appalling. Stewards are slightly more pleasant than the stewardesses who are particularly rude abrupt and lazy. Food is particularly foul and there was a long period of some hours (the flight to San Diego is 12 hours) without access to water or beverages. Dinner was produced a short time into the flight and a snack provided before landing. The journey from JFK was worse. Same problem with rude and disdainful stewardess. We paid extra for extra legroom at the front of the cabin and found more seats had been installed in front which resulted in such short room that my knees were touching the seat in front for the whole trip back. when the seat in front was reclined it was impossible to view the monitor in front of me. Dinner was pretty awful and the next meal: breakfast comprised of a near frozen croissant. The problem is staff. There needs to be a senior manager travelling on these routes in 'cattle class' incognito - then they will understand what it is like to be treated with complete disdain.,negative
3538,Unkwon,I flew on Apr 29 to Belfast changing in Heathrow and also May 6th from Belfast to (via Heathrow) Barcelona then May 17 from Venice - Heathrow) then to Vancouver BC. I was very pleased with the service and meals and flight attendants were great. The only part was that changing at Heathrow was a bit of a pain having to wait to see on the board re what gate to go to but otherwise everything was great.,negative
3539,Unkwon,I found BA to be the worst airline I have used. Flew LHR to Boston 2hr 56 min delay to start with. Cabin staff unhelpful and disinterested. Also leg room appalling with trim falling of the seat in front of me. It had the interior of an old knackered plane. I have flown Singapore Airlines who run rings around this bunch. I could have flown with Virgin instead for the same money and would have had a vastly superior less drab experience.,negative
3540,Unkwon,"Heathrow - Johannesburg A380. My first flight on A380. After half an hour delay because of planes late arrival boarding started. First thing I noticed was how tiny the seats were. Second thing to notice is that the plane was not properly cleaned. There were grease stains and empty cans left behind. At this point I noticed some toilet paper between the panels above my head. When asked the cabin crew explained this is how they fixed condensation problem from the air conditioning. Anyhow time for lift off. I turned on the inflight entertainment system to watch it from the camera at the tail of the plane. After looking for 5 minutes I couldn't find it anywhere. (Later I found out there is no such option on BA A380s). So no tail cam fine let's listen to some music. Wrong the headphones are not working. Cabin crew assures me they will ""bring me some more"". One hour later suffice it to say cabin crew did not bring anything. I've managed to grab a pair of unused headphones from one empty seat just to find out they were not working either. Probably it was some problem with the jack in the seat rendering the whole inflight entertainment system pointless. And if that was not enough it was time for dinner. By the time it was my turn BA had run out of ""chicken"" so my dinner was asparagus with rice or something like that. You don't even have to look at it to understand why everyone else was choosing the ""chicken"". So no edible dinner and soundless entertainment system. Pretty much spent the rest of the journey counting the minutes until I could get off this plane. The worst part is I have a return trip with BA which I'll be looking to switch to another airline if possible.",negative
3541,Unkwon,BA Heathrow to Madrid Club Euro. Disappointing service perfunctory at best with cabin crew spending much of the flight hiding behind their curtain. Full cabin but it has to be questioned why we continue to pay extra when the service is so disappointing. Flight itself was fine cabin itself not as tatty as some BA short haul. Good experience at T5 lounge at Heathrow. The afternoon tea product continues to underwhelm and underfeed - they really should change this.,negative
3542,Unkwon,Club Europe London Heathrow T3 to Lisbon. T3 lounge very good. Boarding fine and helpful but it is disappointing that this flight consistently requires a bus to link the terminal to the plane and that there is no specific service for Club Europe passengers. There is little point in fast tracking us at other stages of the journey to ignore us at this point. Good flight excellent cabin crew - why can't BA have a consistency of cabin crew quality? Today's crew were excellent - attentive engaged appropriately friendly and amusing and consistent with their service throughput the flight. Food was fine champagne improved from previous flights. Quality of cabin still modest - upgrade of the cabins really should be a priority but I fear that BA's focus is on the long haul not those of us who travel within Europe. Efficient upon arriving at Lisbon.,negative
3543,Unkwon,Heathrow - Johannesburg. Concorde lounge comfortable as always. A little underwhelmed at first by first class on the A380 not as spacious or appealing as I had expected. However it had all that I needed including a very good screen for the IFE. Had the 5-course taster menu but different wines than those which were suggested. Was very good indeed did not have the dessert but the better half pronounced it outstanding. Unfortunately arrived at same time as several other long-haul flights so immigration was a pain but not much BA can do about that.,negative
3544,Unkwon,TXL-LHR-SFO. TXL-LHR on an A321 it was an uneventful flight drinks were served. Transfer at Heathrow was uneventful but I think that BA should give their gate numbers beforehand. LHR-SFO on Boeing 747-400. IFE was a little old and the volume was very low. Movie selection was okay. Overall it was a pleasant journey.,negative
3545,Unkwon,"San Diego return business class (the seat was more comfortable than the first class one). As usual plane was fine service was OK but not attentive (i.e just about OK). Food was terrible -I have flown BA in economy business and first - and never had good or adequate quality food. If they upped their game on this they would be unbeatable. Entertainment pretty dire - at least first had a few good ""box sets"" of TV programmes. My wife was back in economy - her comment was that the world traveller plus seat gave her backache - the economy seat was better. Her food was inedible.",negative
3546,Unkwon,Flew British Airways from Sydney to Venice on 22nd April and return 20th May from Barcelona. From Sydney check in staff wonderful courteous and helpful. Cabin crew just as wonderful as Check in Staff. Food out of Sydney awful. Return journey was from Barcelona. Again check in Staff were wonderful and helpful. Cabin crew just as wonderful and food was fine.,negative
3547,Unkwon,Recently returned from Mauritius to Gatwick in Club World and have to say that the service was woefully lacking. Left on time. The cabin crew were obviously tired and the welcome glass of Champagne was served without smiles or a welcome. Throughout the whole flight the crew did the absolute minimum and there was very little interaction with the passengers. Breakfast was disgusting and served soon after take-off. A little round casserole dish of British Breakfast ingredients all piled together and searingly hot and overcooked and tasteless. Awful insipid coffee. After that some of the crew disappeared for a sleep and we were left to ourselves. Nobody asked if we wanted anything nobody chatted I rang for a drink and nobody came. The galley 'kitchen/snack bar' was almost bare and had two manky stale smoked-salmon sandwiches and a few bottles of water. On asking for a glass (there were none) for wine I was told to sit down and one would be brought as indeed it was ten minutes later with no smiles or nibbles. Throughout the flight I felt guilty asking for a G&T or wine because of the negative attitude of certain cabin crew. Lunch was just about OK and very good wine. After that for the next five hours nothing was served to refresh us before landing - no tea no cakes no nothing. The seating configuration was 2-4-2 (Boeing 777) and packed in like sardines - claustrophobic for some. To access the aisle from the window you have to climb over the legs of the person behind and the food is served across the lap of the aisle seat over the partition. We were a couple but if you are travelling alone it could make for some very strange eye-to-eye contact with a stranger. The IFE was dated and a very limited choice with poor quality fuzzy screens. The whole package was so minimal soulless and lacking. Not once were you made to feel special or 'pampered' in any way. If there is an alternative in future to BA I'll take it and compared with some Middle-East airlines the Club World product is embarrassingly mediocre. BA needs to refresh review and up-date quickly. Sorry BA - you've lost me for the foreseeable future!,negative
3548,Unkwon,London to Barbados and back. After reading some bad reviews we were delighted with the service and food and both ways we had a great crew. Shame the films were not on demand on the return trip.,negative
3549,Unkwon,London Heathrow to Madrid on a Boeing 767-300. The outward flight was on a plane configured for Worldwide operation. i.e. with Club World World Traveller Plus and World Traveller classes. It was one of the newly refurbished ones. The economy cabin at 2-3-2 and leg room was excellent - I am 6 foot tall. Snack of a very nice chicken sandwich complimentary alcoholic drinks with a second run. Staff very efficient and friendly. We are Silver members of the Exec Club and the Cabin Service Director welcomed us by name. On time departure and slightly early arrival. The return flight was on a standard European configured aircraft but space was as good as the outward journey. On time departure and arrived into Heathrow 20 minutes early. Overall a great trip.,negative
3550,Unkwon,Recently for our honeymoon we took advantage of a BA promo to fly in to Singapore and then to Hong Kong via Cathay Pacific and back to UK. Our flight out to Singapore was easy and relaxed because I think it was not a busy flight. We did ask to have a wedding photo canvas to be checked in to save us the hassle of lugging it around but was flatly refused. The canvas was less than 1kg properly packed for delivery but just slightly awkward to be carried around. We understand BA has a one bag check in policy and no flexibility but we were not too bothered anyway although a little kind gesture would have been appreciated. Our flight on Cathay Pacific to Hong Kong was great! We were allowed to check in 3 pieces of luggage between 2 of us that weighed less than 40kg food was fantastic and the service was immaculate. On our way back to London we were excited as we knew we were flying the A380. SQ and Emirates have A380 we have flown. This turned out to be a mistake from the start. When we were checking in we were not allowed to check in extra hand luggage despite the combined weight of less than 40kg for all 3 items. When we got on the plane we were shocked to see how tiny the seats on the BA A380 were in comparison to SQ or even Emirates. Next we struggled to find an overhead cabin compartment for our hand luggage. The staff instead of helping us find a space for the bag stood on her spot pointing at cabins that looked empty but were 10 over rows away from our seats. The ultimate bad experience came when breakfast was served. By the time the trolley came to us there were no more options for our breakfast and the food was just plonked on our trays. No apologies no explanations as to what was under the foil no smiles! I was quite upset by now as I had to ask the stewardess what was being served. I have never felt more humiliated. With BA it was just silence. Miserable unhappy lifeless crews at work who can't seem to care less with their customers. No smiles no interactions no explanations no communication. Needless to say the highly unpopular dim sum with noodles for breakfast was left untouched! Our overall flying experience with BA has been anything but pleasant friendly generous comfortable with delicious meals. It had just served as a reminder why I have not chosen BA the last 10 years and perhaps the next 10 to come.,negative
3551,Unkwon,LGW-Antigua on 29 April and Antigua-LGW on 13 May Boeing 777. It started off badly when I went to pay the final payment on line on evening of 16 February. The system rejected both my credit and debit cards. On checking the state of my account with BA online I found that the final payment had been credited to my account and I now owed the initial deposit. I sent an email to get it sorted only to receive a reply that it could only be sorted out by a telephone call. First call was useless with a person who had poor grasp of English. Another call to a premium number required a 20 minute wait to get someone to sort out the problem having been passed round twice. I was told it had been sorted out and received E ticket email with my state of account showing I owed nothing. Two weeks later I received another E ticket the only difference now was that it showed the last four digits of my credit card. Next credit card statement did not show money taken out. Not unusual for some companies but made me nervous that all was not well. Two weeks before flight I got a phone call from BA stating that there had been a computer glitch and could they have my credit card details. I then received an email apology and confirmation all had been paid. About 22 hours before flight I went online to check in and changed my seats and entered passport details etc and printed boarding pass. Arrived at LGW to just print baggage labels and drop off baggage. Met by man at terminal who tore up my boarding pass and printed off a new one saying ‘bring back the old system. We then had to queue to drop off baggage. Other than choosing seat it was a complete waste of time to check in online. Flight left and arrived on time. However the inflight main meal was the worst I have ever experienced on an aircraft. There was no choice and the red wine was undrinkable. The inflight food on my first flight a forces trooping flight to Singapore in 1962 was better. On return flight you could only check in online and alter seat position. Check in at Antigua was one of the quickest check ins I have ever done. Left Antigua on time and arrived LGW on time. Food was worse than going out. No choice. Starter was small chopped up lettuce leaf with small tomato wedge with a rotten end to it. Main was very dry pasta with a tomato sauce on it. White wine was just about drinkable. Coffee served as we started main course. Asked if we could have it later and told no as turbulence was expected. No turbulence but cabin crew quick to clear up and disappear for a bit of shut eye leaving minimum staff on duty. At least with Ryanair you know what you get for your money.,negative
3552,Unkwon,LHR-JTR-LHR. A tale of opposites for BA's new route to Santorini. Outward it couldn't have been better with excellent FAs decent food and arrival that was ahead of schedule. The return started off poorly with substandard facilities at Santorini airport including no online check-in no business class lounge and no priority boarding. An air traffic controller issue kept the plane grounded for 30 minutes. On board they'd forgotten the menus for the dinner service and the starter and cheese course had been left behind. The Club Europe toilet then ran out of water. So overall okay but the return was disappointing.,negative
3553,Unkwon,Gatwick-Venice return. Two contrasting experiences. Trip out pretty good A320 so much better than the old 737's used at Gatwick. Staff friendly and a good snack and beverage included. Good updates from cabin and we left and arrived on time. Trip back felt like it had been crewed by brand new staff in the cabin. Food handed out 20 mins after take-off but drinks took another 30 mins to be offered around cabin. Half the cabin crew seemed too pre-occupied with passengers not sitting in correct seat even though flight not full. Think a smile and re-assurance to move back after take-off would have sorted the issue however one female crew member in particular had forgotten to bring her 'happy face' to work that day! Flight OK but not up to standard you expect. I fly BA quite regularly and choose over EasyJet as fares and flight times often similar but service superior. I hope the Gatwick service levels can reflect the BA brand otherwise they have an aggressive competitor in EJ at this airport.,negative
3554,Unkwon,1st Class LHR-PHX. Totally seamless flight. Great driver collection through concierge service (granted it was extra). Concorde room was lovely great staff and nice breakfast. First class service onboard staff were very good. Producing a very nice custom meal for my wife.,negative
3555,Unkwon,When we booked our holiday to Barbados I was really pleased to see we were flying with British Airways as they have a good reputation. Sadly our experiences put a lie to this. As part of the service they offer BA allow you to either pay an expensive premium to choose your seats in advance or you can log onto their website for free 24 hours in advance. I tried to do this several times without success and finally rang the helpline number suggested. After a 14 minute call at premium rate the call operator (whose grasp of English wasn't great) was unable to advise about the problem nor manually book our seats and could offer nothing more constructive than “keep trying”. I rang the complaints line (still premium rate) and other than a better grasp of English was still unable to assist in any way. Both operators assured me that they would sort it all at the Airport. So in view of this we arranged to arrive at the airport early. We entered our details online to find that even though there were only 2 of us we weren't sat together or even on the same row. By now my wife – who is a nervous flyer – was in tears! We then sought assistance and had to queue but eventually we're allocated 2 seats together. As they were free I don't know why these weren't given originally – however given our further experiences – maybe they don't like using them? I have flown long haul before and found that you always get a more generous allocation of space particularly shoulder and legroom. Sadly British Airways don't appear to follow this doctrine. The legroom was adequate however as soon as the woman in front reclined her seat I had about 4 inches between the front of my nose and the back of her seat. As my TV screen is in the back of this seat it made trying to watch the screen extremely difficult. I managed to watch 1 film however this brought on a headache so I was forced to stop. I would love to see what regulations BA have to follow regarding VDU viewing however in a work environment this would be banned without question. The final disappointment came when the food was distributed. I had the Thai Chicken which was over-cooked so that the rice was cremated to the top and bottom of the container whilst my wife had the cottage pie which tasted of plastic. She didn't eat hers. I ate mine but had a stomach upset for the following 48 hours. All in all this was an experience I do not want to repeat and I shall certainly not fly British Airways by choice in the future! We didn't have these problems with Sri Lanka Airlines.,negative
3556,Unkwon,Travelling as a family of 4 (2 adults and 2 young children) from London to Boston I hoped there wouldn't be a problem sitting together in the 4 middle seats. I had not paid to reserve my seat as I had never had to pay extra before while flying with Emirates Singapore or Cathay Pacific. The seats allocated at check in were 3 on the left (A/B/C). My wife sat with the kids while I had to sit in the row behind. The seats could not be changed at check in or on the plane. It seemed ridiculous that we were not allocated the logical place for a family of 4 in the middle of the plane even though my flight had been booked 5 months in advance. I warned the stewardess that the situation would be difficult for my family for the staff and the passengers around as this proved when my 3 year old cried as he wanted to sit next to me. I had to swap seats with my wife a couple of times during the flight it was a stressful flight. On the return flight I reluctantly paid extra (£23 x 4) to make sure we got the 4 middle seats. The journey was less stressful but my wife had her own issues as she couldn't recline as the passenger behind was too tall and refused to move his legs (he should have paid and extra £23 and reserved a seat with more leg room). My wife complained to the steward as the passenger refused to let my wife recline he was made to move to a different seat. In conclusion I found staff were generally friendly but didn't exert themselves on service the food was okay but the entertainment system was dated it didn't have any games and the screen kept freezing. It seems the flight services to USA are not up to the same standard as flying to the Middle East or the Far East as British Airways had failed in comparison at all levels when compared with the other airlines mentioned earlier - my last experience to the USA was with American Airlines and that was worse than BA. The main disappointing issue with BA is definitely having to pay extra for choosing your seat. If you are travelling with a family of 4 and you want to guarantee you sit together you have to pay an extra £200 on top of the original cost of the return ticket this felt more like the additional charges of Ryanair!,negative
3557,Unkwon,Flew to Vegas on 8th May and dismayed at the standard. Filthy seat back in front of me dismissed with a shrug by a steward. Only choice of meal was a lemon pasta although some food wrapped up in foil was brought with 3 chicken meals to share between 6 of us. Sandwiches crisps and nuts etc were refused when requested as an alternative; we were told by the stewardess not to sit in the area we did (around row 31) as it normally happened. The worst part though was aloof staff who actually come over as rude.,negative
3558,Unkwon,LCY-SNN-JFK-LCY BA001 and 004. Quick check in and fast track security although I had to show my boarding pass to get expedited. Gate 24 lounge with a view of our aircraft and a glass of champagne. Quick boarding nice welcome by a familiar face. Cabin has stood up well and is as fresh as it was on introduction. Starter choice to Shannon now replaced by a selection of canapes served on a plate. USA immigration straight forward and soon back on the aircraft but the airport is soulless. Once in the air salad drinks and a choice of mains. I had the curry which was excellent followed by chocolate fondant smothered in chocloate sauce - bliss. Later on the Friday 001 flight which departs at 1245 as opposed to 0945 they serve supper rather than afternoon tea. This was a plate of cold cuts and samosas.Tasty.Quick disembarkation lovely crew. Return on 004 Sunday evening supper in the busy Galleries dining room. then quick boarding on this full 31/32 flight. Supper served to those who wanted it and then a full hot English breakfast option or a bag to go. Bussed to the arrivals hall and immigration and then home in 15 minutes. Excellent crew and flight.,negative
3559,Unkwon,MIA-LHR in World Traveller on a 747-400. After having flown 3 consecutive legs on AA (and having been pleasantly surprised) I wasn't sure how an old BA 747 would measure up but aircraft was spotless and in full working order. Crew were friendly and helpful. The food was pretty good and the IFE far better than AA.,negative
3560,Unkwon,On a recent vacation from Sacramento to Paris some friends and I had a terrible experience with another airline and had some trepidation about our return flight from Paris to Sacramento. We did however choose British Airways for the return flight and none of us had flown with them before. I am happy to report that the experience was totally different. Our flight was delayed by an hour which did effect our layover and did rush us to our next flight but we had a cushion of 2 hours layover so we were ok. On the flight the seats were more comfortable more leg room less noisy better entertainment due to screens on seats in front of you and the access to the bathroom was much easier to navigate. We also had seats relatively together which the other airline refused to offer us even though we had made the reservation months in advance. Their screen was so far ahead I couldn't see it and it offered only one choice. The staff was very kind to hydrate us frequently and gave us plenty to eat and it was all very palatable. I will definitely recommend British Airways for International flights to my friends.,negative
3561,Unkwon,I should be in a nice hotel in Romania instead 9 hours after I arrived in Heathrow courtesy of British Airways I am still in Heathrow heading back to Glasgow! The 7am flight went well 10/10 for getting me from Glasgow to London. The connecting flight to Bucharest was delayed by more than an hour which meant I wouldn't get my connecting flight to Timisoara. I duly went to customer services (waited 50 mins) who offered to get me to Timisoara tomorrow about 3pm as the last flight on 9/5/14 was fully booked. They offered to put me up in a hotel in Bucharest but were not able to book one. Having waited 50 mins at a BA desk where apparently there was nothing they could do to check availability of a hotel in Bucharest I was not filled with confidence. Since I was going out for only 48 hours and would miss a large part of my meeting I decided to go back to Glasgow. I was booked on the 15.50 to Glasgow and given a slip of paper with all the details and told to go to the gate when it was called as they would know all about the booking as it was on the computer. Told my boarding pass was sorted. They hadn't sorted it and I got a lecture about what I needed to do in future. There was no way I was getting on the flight told that I should be grateful as they were doing me a favour putting me on the 6.50pm flight. Told to go back to the service desk and wait in the queue again!,negative
3562,Unkwon,2/5/2014 BRU-LHR-JFK. Short flight in business from Brussels to Heathrow was how a short business always has to be: excellent crew decent food flight was on time. Flight from LHR to JFK started in perfect conditions: First lounge in Terminal 5 (as a gold member) with excellent champagne and food and place. Boarding was smooth with helpful crew a nice drink to welcome us on board and to relax and a nice smile. In one word the start of a perfect flight in a full cabin landing on time in New York. This is how it always should be.,negative
3563,Unkwon,While different people have different experiences I wanted to share that I have mixed reviews both are great - one can be used as feedback while the other for pat on BA's backs! I was traveling BLR-LHR-SFO route on 9th of May 2014. The first flight from BLR-LHR was chaotic and as mentioned by others on this site most food options were exhausted by the end of the flight. I don't complain because I got my food choice. The flight staff had some really courteous people while some were pretty snobbish. The second flight is really what's worth mentioning - it was the most cheerful flight I have been on! The flight attendants were entertaining the pains of being on a second leg of a 24 hr journey was not felt. BA 287 flying on 9th May 2014 - fantastic flight. Food was okay - I loved the Lily O Brien chocolate mousse! Entertainment - its high time BA upgrades its entertainment systems. The audio was lousy and nothing was clear or audible even on the highest volume against the aircraft sounds.,negative
3564,Unkwon,Once again a good flight from LHR to Warsaw in an A320. Cabin crew were very efficient and friendly on both outbound and inbound flights. I was tempted to upgrade for £72 when I booked the flights but decided not to due to the good catering service on the flight and the shortish journey. The wraps have been replaced by a flat bread sandwich which is much better! Looking forward to my next flight!,negative
3565,Unkwon,LGW-MRU-LGW in business. Outbound flight good with attentive staff return flight staff couldn't seem to care less had to ask for everything even water and coffee after lunch. Not what you expect in Club World from a 4 star carrier.,negative
3566,Unkwon,LHR-FRA-LCY May 2014. LHR-FRA on a 767 row 18. Checked-in via the mobile app no bags to drop as a day trip. BA Galleries South for a quick spot of breakfast. Boarding started 20 minutes before departure. Not a full flight. Left slightly late due to cargo being loaded but arrived on time. Standard seating and food for BA short haul European flight. Return FRA-LCY on a E70 Row 15. Use of the JAL lounge at FRA opposite the gate area. Bus to the aircraft and an on-time departure. Full flight and not much room up above for carry on items on this aircraft on a full flight. Legroom quite tight in row 15. Again standard food and drink for a BA short haul service.,negative
3567,Unkwon,Rating : 10/10 Cabin Flown Economy Value for Money Seat Comfort Staff Service Catering Entertainment Recommended,negative
3568,Unkwon,08/5/2014 JFK-LHR-BRU. After the perfect outbound flight we thought that the inbound flight could not be the same. The lounge is JFK was very crowded and not really relaxed. Boarding was again relaxed with a perfect crew on the Upper deck friendly and relaxed. Slept nearly the all flight in perfect conditions. The flight LHR-BRU was delayed with more than 40 minutes but the captain excused humbly for the delay and gave us plenty of information. business cabin was full but the service on this short flight was more than excellent.,negative
3569,Unkwon,Belfast-Heathrow-Frankfurt return. Very impressed with the service and crew especially on the Frankfurt-Heathrow sections as the Belfast ones are only domestic but still excellent. I was impressed with the food which was a hot chicken dinner going out and afternoon tea on the return leg. The crew were really exceptional and make this airline as the seat pitch in Club Europe is poor. Their Galleries lounge in T5 is just OK being a bit of a cattle market compared to the Sukara longge in Frankfurt which was superb.,negative
3570,Unkwon,Flew from San Francisco to Heathrow London. Flight was delayed 3.5 hours the food particularly the breakfast was the worst I've had on an airline. The sets were very uncomfortable. I feel BA have a long way to catch up to the quality to other airlines such as Emirates and Qatar.,negative
3571,Unkwon,Caught a connection from Gatwick to Jersey and it was fine. A very short flight with very efficient and effective staff. Not much more I can say because we were up and out so quickly. I was travelling business and it is about time a little more space was made in the cabins. If you cannot cross your legs then why are you paying for business class seats?,negative
